,OSA,Healthy
C4s-O2s,-0.0006962382888122357,-0.0015526893218907175
C4s-O2b,-0.0008401847597917338,-0.0018743550968928495
C4b-O2d,-0.004114109499410492,-0.006450203316575228
C4b-O2t,-0.00181310686577434,-0.0020046066491795685
C4b-O2a,-0.0023493874328157894,-0.0023088694449632774
C4b-O2s,0.0043350825666923515,0.0020613637630843644
C4b-O2b,0.005855713331236455,0.004976929513100544
O2d-O2t,-0.0015352347222532736,-0.0011877048209860386
O2d-O2a,0.002040230800850096,0.0007268733814607892
O2d-O2s,0.0029295965894544137,0.0016589255810309342
O2d-O2b,0.0037923492882597264,0.0014128980594362807
O2t-O2a,0.0003360243754193194,-0.0014448044714776385
O2t-O2s,0.0030035130107318913,0.0016587707983541568
O2t-O2b,-0.002459110716539561,-0.0023960379611154
O2a-O2s,0.0020198274816812336,0.0003632314854889609
O2a-O2b,0.0016349254998976326,-0.0001900974146706701
O2s-O2b,0.00044391076996828005,-0.0006112161292025979
