,OSA,Healthy
FLs-O2b,9.74650104454113e-05,-0.0007114013422586402
FLb-C3d,0.005648422099949392,0.0017016168989573157
FLb-C3t,0.0007609114180729326,-0.00013083568066206956
FLb-C3a,-0.0025014509753394734,-0.0029099284994148654
FLb-C3s,-0.00034330201278997906,-0.002970691325144841
FLb-C3b,0.0004889085274191846,-0.0008051964374025134
FLb-O1d,0.005131209466264102,0.00156226269713465
FLb-O1t,0.00153099704644708,0.0005489119642411652
FLb-O1a,4.89676505131965e-06,-0.0007317400798224143
FLb-O1s,0.0014938853776603745,0.00017602508281656771
FLb-O1b,-0.0013735828791624472,-0.002967030911823215
FLb-FRd,0.010197448010174021,0.004351610555740853
FLb-FRt,0.0038289080351087976,0.0022308136774177338
FLb-FRa,0.006360243922863292,0.003352422700899637
FLb-FRs,0.00013074402640227915,-0.0020257485611182404
FLb-FRb,-0.001609685214009101,-0.0070561348655807975
FLb-C4d,0.011043100042889734,0.004573202253660565
FLb-C4t,-0.0004711141702042571,-0.0009704571117471547
FLb-C4a,0.00299389539797782,0.0020160197601234255
FLb-C4s,-0.0004716249127944291,-0.0017714416202417025
FLb-C4b,-0.0054703929430256594,-0.008455437574135676
FLb-O2d,0.005676249498065852,0.0015329935728044762
FLb-O2t,0.00033209098772923895,-0.0003567120667364867
FLb-O2a,0.0034314651022704008,0.0023009761235696195
FLb-O2s,0.0029927585959475212,0.0010799899152863183
FLb-O2b,-0.0014820722583793902,-0.0008781093827463775
C3d-C3t,0.001045034318536561,0.001678116531163177
C3d-C3a,0.014032277877062063,0.005030242758271075
C3d-C3s,0.009975341096319566,0.003546451269692235
C3d-C3b,0.012240660488889972,0.00375990880640089
C3d-O1d,-0.0009115078256844942,-0.0011403310351767218
C3d-O1t,0.0023169728663351135,0.0011417296306788366
C3d-O1a,0.009380867102442432,0.003434099981845454
C3d-O1s,0.010264353091488706,0.0034868338669960157
C3d-O1b,0.012179455892514743,0.00329460819118164
C3d-FRd,-0.00664072533273066,-0.008457577820541531
C3d-FRt,-0.006716213062423813,-0.010528582914312811
C3d-FRa,-0.0007478719779620074,-0.0019580267212269344
C3d-FRs,-0.0022714455244534555,-0.00233140678338825
C3d-FRb,0.002428564426116931,0.00026546801000460515
C3d-C4d,-0.003217000950083143,-0.006616587718709439
C3d-C4t,-0.003245022155818575,-0.0038643903131598484
C3d-C4a,0.0044323802817948415,0.0019279098954463
C3d-C4s,0.0023361871384389274,0.0006043388225855288
C3d-C4b,0.00955807830574518,0.003291231460906137
C3d-O2d,-0.0028272612873036828,-0.004078364699888373
C3d-O2t,0.00411932443818243,0.002334905371912498
C3d-O2a,0.006584322404288486,0.0023136057108723235
C3d-O2s,0.008676137495989913,0.0027821521135926
C3d-O2b,0.010870019129474662,0.0032523130376642417
C3t-C3a,0.005635424132795124,0.0030440941146251633
C3t-C3s,0.005804387862241441,0.003008714006137639
C3t-C3b,0.0032394755828728146,0.000585532601800298
C3t-O1d,0.0016351426836090153,0.001701324612119802
C3t-O1t,-0.0012286812299419057,-0.0014659067494339636
C3t-O1a,0.006208998310264085,0.0035586297971045753
C3t-O1s,0.007932004870899156,0.003615264305095153
C3t-O1b,0.0024173087887521855,0.0011696107220859123
C3t-FRd,-0.0019029574931059858,-0.0026860011752516074
C3t-FRt,-0.0050991648355744185,-0.008757372924114918
C3t-FRa,-0.0007267262189648002,-0.002270843314285249
C3t-FRs,-0.0036259300938416674,-0.0040780142868455495
C3t-FRb,-0.002426470578697712,-0.002233515535801457
C3t-C4d,-0.0038730947247207145,-0.004959625375394711
C3t-C4t,0.001352498188666149,-0.002452375847569785
C3t-C4a,0.0017108724118779367,0.0003848784874920015
C3t-C4s,0.0007603422291047691,1.9581980761464342e-05
C3t-C4b,-8.675161672056697e-05,-0.00033114883172669074
C3t-O2d,0.0018185505802398466,0.0008651636802219607
C3t-O2t,0.0014469554581607901,0.00028705603534635496
C3t-O2a,0.006545029999556142,0.0039823647981902304
C3t-O2s,0.002813803228021426,0.001474292647717645
C3t-O2b,0.0016162534812284427,0.0007155005655897623
C3a-C3s,-0.003622094051814907,-0.005011188450083369
C3a-C3b,0.0025202440164863887,8.00596504341423e-05
C3a-O1d,0.012163441349168577,0.004872994035569807
C3a-O1t,0.003636311633480527,0.0014860671414112109
C3a-O1a,0.0030860193123080602,0.0012615981619342324
C3a-O1s,-0.0008623262102084711,-0.0016942635535494807
C3a-O1b,-0.002830602834506901,-0.0036624682802730143
C3a-FRd,0.0009799933132991745,0.00019041211161461284
C3a-FRt,0.0011749895324689318,0.0004768031587004988
C3a-FRa,0.0014470493068088459,-0.0009630387903159801
C3a-FRs,-0.0023127010552059617,-0.004330996651801136
C3a-FRb,-0.005800706070726992,-0.008207062712746085
C3a-C4d,0.008202516115302956,0.0037736833225478694
C3a-C4t,0.003817687000734335,0.0008334616935568348
C3a-C4a,-0.0016453872459577397,-0.004268491873848005
C3a-C4s,0.00038823058852793595,-0.0002484482192160655
C3a-C4b,-0.0035182377301770235,-0.005089960507735575
C3a-O2d,0.010728876279490925,0.004554278436962544
C3a-O2t,0.0036487219063297454,0.0017849913490948592
C3a-O2a,0.003666398854548774,0.0025181747722659554
C3a-O2s,0.0007342526769204396,0.00018746050498341972
C3a-O2b,-0.0038115108433344593,-0.00495103358318231
C3s-C3b,0.0019834140717972125,0.0019898365255891825
C3s-O1d,0.010718894308211333,0.004116901122565319
C3s-O1t,0.003373641407304443,0.0010602790959536035
C3s-O1a,0.0021708967111313754,0.0008719658785163318
C3s-O1s,0.005795349519725543,0.004103522584003744
C3s-O1b,-0.0021912156428626935,-0.0028201834179145237
C3s-FRd,-0.0014666428053900047,-0.0013878217780736103
C3s-FRt,-0.0011318026928014342,-0.0017784638887580508
C3s-FRa,-0.0009382250014017051,-0.0023903722059256697
C3s-FRs,-0.0031853950688323926,-0.005820399024002519
C3s-FRb,-0.005211168279481473,-0.007651203845826404
C3s-C4d,0.00695896502217207,0.0024826828524197597
C3s-C4t,0.003674247103303922,0.002009685841283649
C3s-C4a,-0.0004158113730251886,-0.002079285492682677
C3s-C4s,-0.001322773627449709,-0.006199680729757526
C3s-C4b,-0.003991259508632161,-0.006315524538672117
C3s-O2d,0.006696048142152524,0.0019887798906441903
C3s-O2t,0.0011868966793429532,-0.00021023371095546528
C3s-O2a,-0.0022479047567262227,-0.003699309537216984
C3s-O2s,-0.0008979934638384014,-0.0004735882897563512
C3s-O2b,0.001857671167053141,0.0008580723504447556
C3b-O1d,0.01092344250076345,0.0026582031016322825
C3b-O1t,0.004616476682366455,0.001664581174749879
C3b-O1a,0.001171941540619538,-0.0010065021197690131
C3b-O1s,-0.0019338130004123092,-0.0021311638918028375
C3b-O1b,0.0026304754054516355,0.000592818226025372
C3b-FRd,0.001864643894015055,0.0006501383093150759
C3b-FRt,0.0015649116827608424,0.0007404432397947974
C3b-FRa,0.001688682897642502,0.0006875852676137469
C3b-FRs,-0.002330109876767046,-0.004045567716718589
C3b-FRb,-0.003950963232471445,-0.008639689561035422
C3b-C4d,0.012046465673840868,0.003294440000615369
C3b-C4t,0.004253897217342698,0.0018578478964798085
C3b-C4a,-0.0002644757635178972,-0.001433724839263571
C3b-C4s,-0.0028452402464100766,-0.003916373517991284
C3b-C4b,-0.0052562516508539185,-0.010158843595256966
C3b-O2d,0.012107134169912347,0.003312352198286573
C3b-O2t,0.0041000446231807585,0.0013462411278230163
C3b-O2a,0.0030327144297043933,0.0013420719020882372
