,OSA,Healthy
FRt-C4a,-0.00019117043020989364,-0.0005928020056036366
FRt-C4s,-0.004335925703630901,-0.0038203774690129056
FRt-C4b,-0.004895248293981176,-0.0034864169534338713
FRt-O2d,-0.0014040610810364127,-0.0009397761455221086
FRt-O2t,-0.0038034598439998526,-0.004347121234312598
FRt-O2a,-0.0027692921712988722,-0.002682703061949075
FRt-O2s,-0.0046612035471987456,-0.0037659471703749567
FRt-O2b,-0.0016991627364972618,-0.0017931477669799866
FRa-FRs,-0.0008394661138584261,0.0023027616313471685
FRa-FRb,-0.0006053077944824623,0.002970673181716354
FRa-C4d,0.001983434217527408,0.0017066270519904762
FRa-C4t,0.0017213107204005196,0.001938012213139316
FRa-C4a,-0.003927177002452477,0.0008014161748974037
FRa-C4s,-0.003440015530141058,-0.0018585678742879478
FRa-C4b,-0.005728030617657105,-0.002993074712016105
FRa-O2d,-0.0004154767017545042,-0.000513171106244155
FRa-O2t,-0.004578782686596596,-0.0039032781689666784
FRa-O2a,-0.00187446339846895,-0.0018177443784786352
FRa-O2s,0.0007789430490646404,0.002072360195380797
FRa-O2b,-0.002559782593390343,-0.001046775952207232
FRs-FRb,-0.003924342635658295,0.0013561001023648868
FRs-C4d,0.000765330857968417,0.002130104659737446
FRs-C4t,-0.002252732457616616,-0.0024198387218779607
FRs-C4a,-0.0021581230654932415,-0.0016582373238176503
FRs-C4s,0.00392822607885121,0.004632871639525001
FRs-C4b,-0.004329156841395581,-0.0018021563330536034
FRs-O2d,-0.003222800517884472,-0.0024260487776698036
FRs-O2t,-0.005854694472885176,-0.0040358887972544565
FRs-O2a,-0.0027177829889007193,-0.0017272642451629245
FRs-O2s,-0.003026260756040564,-0.003329018158909411
FRs-O2b,-0.0032298196388298437,-0.0032647234910116014
FRb-C4d,0.001482448279843871,0.002679973173083761
FRb-C4t,-0.004688315018796663,-0.0034402411888301413
FRb-C4a,-0.004406959181357567,-0.0032113581019596626
FRb-C4s,-0.0033602706149474014,-0.0011579992366853478
FRb-C4b,-0.0014527765080246144,-0.00042588438256626666
FRb-O2d,0.0006432187112326928,0.001522803418801905
FRb-O2t,-0.002974818501713242,-0.0023979930497298346
FRb-O2a,-0.0002981995381129819,0.0006036230232551117
FRb-O2s,-0.0016315298104691927,-0.0004665766879837491
FRb-O2b,-0.0040503663431371234,-0.002042271035018027
C4d-C4t,0.00034824786716309696,0.0033268279954113238
